yorum,duygu
"Karmaşık duygular içerisindeyim, bilemedim.",nötr
"Hiç memnun kalmadım, kötü bir deneyimdi.",olumsuz
"Kalitesiz bir ürün, tavsiye etmiyorum.",olumsuz
"Fotoğraftaki gibi değil, yanıltıcı.",olumsuz
"Kalitesiz bir ürün, tavsiye etmiyorum.",olumsuz
Ne övülecek kadar iyi ne de kötü.,nötr
Beklentimi hiç karşılamadı.,olumsuz
Berbat bir alışverişti.,olumsuz
"Ürünü denemedim, yorum yapmam zor.",nötr
"Normal bir ürün, ortalama kalite.",nötr
Fiyatına göre mükemmel bir ürün.,olumlu
"Satıcı çok ilgiliydi, teşekkür ederim.",olumlu
"Satıcı ilgisizdi, sorun yaşadım.",olumsuz
Berbat bir alışverişti.,olumsuz
"Bu ürün gerçekten harika, çok memnun kaldım.",olumlu
"Ürün bozuk geldi, iade ettim.",olumsuz
"Ürün bozuk geldi, iade ettim.",olumsuz
Berbat bir alışverişti.,olumsuz
İyi mi kötü mü emin olamadım.,nötr
"Normal bir ürün, ortalama kalite.",nötr
"Tam anlatıldığı gibi, çok başarılı.",olumlu
"Kalitesi çok iyi, herkese tavsiye ederim.",olumlu
"Tam anlatıldığı gibi, çok başarılı.",olumlu
"Satıcı çok ilgiliydi, teşekkür ederim.",olumlu
"Ürün bozuk geldi, iade ettim.",olumsuz
"Kararsız kaldım, tekrar alır mıyım bilmiyorum.",nötr
Ne yazık ki yorum yapacak kadar kullanmadım.,nötr
"Çok güzel paketlenmişti, teşekkür ederim.",olumlu
"Ürünü denemedim, yorum yapmam zor.",nötr
"Hiç memnun kalmadım, kötü bir deneyimdi.",olumsuz
"Bu ürün gerçekten harika, çok memnun kaldım.",olumlu
"Çok güzel paketlenmişti, teşekkür ederim.",olumlu
"Kargo çok yavaştı, bir daha sipariş vermem.",olumsuz
"Satıcı ilgisizdi, sorun yaşadım.",olumsuz
Ne yazık ki yorum yapacak kadar kullanmadım.,nötr
Fiyatına göre mükemmel bir ürün.,olumlu
"Tam anlatıldığı gibi, çok başarılı.",olumlu
"Kargo hızlıydı, ürün sağlam geldi.",olumlu
"Tam anlatıldığı gibi, çok başarılı.",olumlu
Berbat bir alışverişti.,olumsuz
"Kargo hızlıydı, ürün sağlam geldi.",olumlu
"Param boşa gitti, pişman oldum.",olumsuz
"Beklediğimden bile iyi çıktı, bayıldım!",olumlu
Beklentimi hiç karşılamadı.,olumsuz
"Hiç memnun kalmadım, kötü bir deneyimdi.",olumsuz
"Çok güzel paketlenmişti, teşekkür ederim.",olumlu
"Normal bir ürün, ortalama kalite.",nötr
"Satıcı çok ilgiliydi, teşekkür ederim.",olumlu
"Bu ürün gerçekten harika, çok memnun kaldım.",olumlu
"Bu ürün gerçekten harika, çok memnun kaldım.",olumlu
"Tam anlatıldığı gibi, çok başarılı.",olumlu
"Hiç memnun kalmadım, kötü bir deneyimdi.",olumsuz
"Beklediğimden bile iyi çıktı, bayıldım!",olumlu
"Satıcı ilgisizdi, sorun yaşadım.",olumsuz
"Kalitesiz bir ürün, tavsiye etmiyorum.",olumsuz
"Kargo hızlıydı, ürün sağlam geldi.",olumlu
"Fotoğraftaki gibi değil, yanıltıcı.",olumsuz
"Kararsız kaldım, tekrar alır mıyım bilmiyorum.",nötr
Ne yazık ki yorum yapacak kadar kullanmadım.,nötr
"Süper kalite, gönül rahatlığıyla alın.",olumlu
Fiyatına göre mükemmel bir ürün.,olumlu
"Tam anlatıldığı gibi, çok başarılı.",olumlu
Ne çok memnun oldum ne de pişmanım.,nötr
Beklentimi hiç karşılamadı.,olumsuz
İyi mi kötü mü emin olamadım.,nötr
Ne övülecek kadar iyi ne de kötü.,nötr
"Ürün bozuk geldi, iade ettim.",olumsuz
"Kararsız kaldım, tekrar alır mıyım bilmiyorum.",nötr
"Kargo çok yavaştı, bir daha sipariş vermem.",olumsuz
İyi mi kötü mü emin olamadım.,nötr
"Sıradan bir ürün, dikkat çeken bir yanı yok.",nötr
"Fotoğraftaki gibi değil, yanıltıcı.",olumsuz
"Param boşa gitti, pişman oldum.",olumsuz
Ne çok memnun oldum ne de pişmanım.,nötr
"Süper kalite, gönül rahatlığıyla alın.",olumlu
"Normal bir ürün, ortalama kalite.",nötr
"Beklediğimden bile iyi çıktı, bayıldım!",olumlu
İyi mi kötü mü emin olamadım.,nötr
"Hiç memnun kalmadım, kötü bir deneyimdi.",olumsuz
"Kargo hızlıydı, ürün sağlam geldi.",olumlu
"Ürün idare eder, ne çok iyi ne çok kötü.",nötr
"Sıradan bir ürün, dikkat çeken bir yanı yok.",nötr
"Çok güzel paketlenmişti, teşekkür ederim.",olumlu
"Satıcı çok ilgiliydi, teşekkür ederim.",olumlu
"Satıcı çok ilgiliydi, teşekkür ederim.",olumlu
"Kalitesi çok iyi, herkese tavsiye ederim.",olumlu
"Süper kalite, gönül rahatlığıyla alın.",olumlu
Berbat bir alışverişti.,olumsuz
"Ürünü denemedim, yorum yapmam zor.",nötr
"Tam anlatıldığı gibi, çok başarılı.",olumlu
İyi mi kötü mü emin olamadım.,nötr
"Harika bir alışverişti, tekrar alacağım.",olumlu
"Çok güzel paketlenmişti, teşekkür ederim.",olumlu
"Satıcı çok ilgiliydi, teşekkür ederim.",olumlu
Ne övülecek kadar iyi ne de kötü.,nötr
"Fotoğraftaki gibi değil, yanıltıcı.",olumsuz
"Sıradan bir ürün, dikkat çeken bir yanı yok.",nötr
Ne övülecek kadar iyi ne de kötü.,nötr
"Karmaşık duygular içerisindeyim, bilemedim.",nötr
"Karmaşık duygular içerisindeyim, bilemedim.",nötr
Fiyatına göre mükemmel bir ürün.,olumlu
"Tam anlatıldığı gibi, çok başarılı.",olumlu
"Kalitesiz bir ürün, tavsiye etmiyorum.",olumsuz
"Satıcı çok ilgiliydi, teşekkür ederim.",olumlu
"Hiç memnun kalmadım, kötü bir deneyimdi.",olumsuz
Ne yazık ki yorum yapacak kadar kullanmadım.,nötr
"Kargo çok yavaştı, bir daha sipariş vermem.",olumsuz
"Param boşa gitti, pişman oldum.",olumsuz
"Kargo hızlıydı, ürün sağlam geldi.",olumlu
Ne çok memnun oldum ne de pişmanım.,nötr
"Param boşa gitti, pişman oldum.",olumsuz
"Ürün idare eder, ne çok iyi ne çok kötü.",nötr
"Satıcı ilgisizdi, sorun yaşadım.",olumsuz
Ne övülecek kadar iyi ne de kötü.,nötr
